Ads,Age,Gender,Day,Reach,Impressions,Frequency,Currency,"Amount spent (USD)","Attribution setting","Clicks (all)","CPC (all)","CTR (all)","Gross impressions (includes invalid impressions from non-human traffic)","CPM (cost per 1,000 impressions)","Page engagement","Follows or likes","Post comments","Post engagements","Post reactions","Post shares","Cost per Page engagement","Cost per follow or like","Cost per post engagement","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Link clicks","CTR (link click-through rate)","CPC (cost per link click)","Adds to cart","Cost per add to cart","Adds to wishlist","Cost per add to wishlist","Content views","Cost per content view","Content views conversion value",Purchases,"Cost per purchase","Purchases conversion value","Reporting starts","Reporting ends"
,,,,1479185,10543451,7.12787853,USD,292440.48,,278756,1.04909125,2.64387818,10610310,27.73669456,674092,105,1722,673987,24926,2851,0.43382874,2785.14742857,0.43389632,537218,390640,205952,132068,100148,94133,0.54436091,104366,0.98986565,2.80206657,6103,47.91749631,6,48740.08,17538,16.6746767,858265.8,2606,112.21814275,265455.21,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",25-34,female,2024-06-30,2,2,1,USD,0.38,"7-day click",,,,2,190,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",35-44,female,2024-06-30,1,1,1,USD,0.01,"7-day click",,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",35-44,male,2024-06-30,1,1,1,USD,0.01,"7-day click",,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",45-54,female,2024-06-30,6,6,1,USD,0.16,"7-day click",,,,6,26.66666667,1,,,1,,,0.16,,0.16,1,1,2,2,1,1,0.16,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",45-54,male,2024-06-30,4,4,1,USD,1.34,"7-day click",1,1.34,25,4,335,2,,,2,1,,0.67,,0.67,1,1,1,1,1,1,1.34,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",55-64,female,2024-06-30,17,24,1.41176471,USD,0.35,"7-day click",1,0.35,4.16666667,24,14.58333333,7,,,7,,,0.05,,0.05,7,9,7,4,4,4,0.05,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",55-64,male,2024-06-30,4,5,1.25,USD,1.48,"7-day click",,,,5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",65+,female,2024-06-30,16,30,1.875,USD,0.44,"7-day click",,,,30,14.66666667,4,,,4,,,0.11,,0.11,4,7,5,5,4,4,0.11,,,,,,,,,,,,,,2024-04-01,2024-06-30
"Nattokinase Animation - Vid - PDP",65+,male,2024-06-30,21,30,1.42857143,USD,2.62,"7-day click",,,,30,87.33333333,11,,,11,,,0.23818182,,0.23818182,11,13,11,9,6,6,0.23818182,,,,,,,,1,2.62,39.99,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",18-24,male,2024-06-30,1,1,1,USD,0.03,"7-day click",,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",25-34,female,2024-06-30,6,6,1,USD,0.07,"7-day click",,,,6,11.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",25-34,male,2024-06-30,6,6,1,USD,0.3,"7-day click",1,0.3,16.66666667,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",25-34,unknown,2024-06-30,1,1,1,USD,0.02,"7-day click",,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",35-44,female,2024-06-30,10,11,1.1,USD,0.22,"7-day click",,,,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",35-44,male,2024-06-30,14,14,1,USD,0.17,"7-day click",,,,14,12.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",35-44,unknown,2024-06-30,1,1,1,USD,,"7-day click",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",45-54,female,2024-06-30,20,24,1.2,USD,0.46,"7-day click",,,,24,19.16666667,,,,,,,,,,,,,,,,,,,,,,,,2,0.23,59.98,1,0.46,44.94,2024-04-01,2024-06-30
"lifestyle 2 - Copy",45-54,male,2024-06-30,62,69,1.11290323,USD,0.69,"7-day click",1,0.69,1.44927536,69,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",55-64,female,2024-06-30,67,76,1.13432836,USD,0.91,"7-day click",4,0.2275,5.26315789,76,11.97368421,1,,,1,,,0.91,,0.91,,,,,,,,1,1.31578947,0.91,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",55-64,male,2024-06-30,178,201,1.12921348,USD,2.76,"7-day click",4,0.69,1.99004975,202,13.73134328,1,,,1,,,2.76,,2.76,,,,,,,,1,0.49751244,2.76,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",55-64,unknown,2024-06-30,1,1,1,USD,,"7-day click",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",65+,female,2024-06-30,142,159,1.11971831,USD,3.01,"7-day click",6,0.50166667,3.77358491,159,18.93081761,2,,,2,,,1.505,,1.505,,,,,,,,2,1.25786164,1.505,,,,,,,,,,,2024-04-01,2024-06-30
"lifestyle 2 - Copy",65+,male,2024-06-30,239,268,1.12133891,USD,4.88,"7-day click",7,0.69714286,2.6119403,268,18.20895522,4,,,4,1,,1.22,,1.22,,,,,,,,3,1.11940299,1.62666667,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H1B1 - Vid - LP",18-24,female,2024-06-30,2,2,1,USD,0.15972125,"7-day click",1,0.15972125,50,2,79.86062718,2,,,2,,,0.07986063,,0.07986063,1,,,,,,0.15972125,1,50,0.15972125,,,,,1,0.15972125,94.97,,,,2024-04-01,2024-06-30
"VSL H1B1 - Vid - LP",25-34,female,2024-06-30,3,5,1.66666667,USD,0.16970383,"7-day click",,,,5,33.94076655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
"VSL H1B1 - Vid - LP",25-34,male,2024-06-30,2,3,1.5,USD,0.26952962,"7-day click",,,,3,89.84320557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-01,2024-06-30
