"Campaign name","Ad name","Delivery status","Delivery level","Ad Set Name","Result type",Results,Reach,Impressions,"Cost per result","Amount spent (USD)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)",Frequency,"CPC (all)","Post comments","Post engagements","Post reactions","Post shares","Unique 2-second continuous video plays","2-second continuous video plays","3-second video plays",ThruPlays,"Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Reporting starts","Reporting ends"
"BD - Prospecting - Asia + AU/NZ - CBO - LC","Video - TikTok Unboxing - 1A - Homepage",not_delivering,ad,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers","Website purchases",2,102477,165783,538.39,1076.78,1573,0.6845391,6.49511711,2.31929691,1.61775813,0.28004681,3,54396,186,27,,,52567,12062,14886,7152,5134,4224,3880,5,2024-06-02,2024-07-11
"BD - Prospecting - Asia + AU/NZ - CBO - LC","GIF - Customer Testimonial - Mixed - Logo Update - 1A - Homepage",not_delivering,ad,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers","Website purchases",5,26402,61927,62.99,314.95,341,0.92360704,5.08582686,1.07384501,2.345542,0.47360902,,6642,21,3,,,6275,1445,7128,3452,2015,1509,1437,2,2024-06-02,2024-07-11
"BD - Retargeting - CBO - LC","Static - Waves - 1G - Homepage",active,ad,"All Feeds - P(LC) - All WCAs","Website purchases",6,10775,52555,40.50666667,243.04,250,0.97216,4.62448863,1.07506422,4.8774942,0.43015929,,282,25,1,,,,,,,,,,,2024-06-02,2024-07-11
"BD - Prospecting - Asia + AU/NZ - CBO - LC","GIF - Hunter Green - 1A - SPT CP",not_delivering,ad,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT","Website purchases",2,23050,49223,137.845,275.69,263,1.04825095,5.60083701,0.84716494,2.13548807,0.6611271,,5347,13,2,,,5065,962,4941,2458,1382,1000,935,2,2024-06-02,2024-07-11
"[US] BD - Prospecting - US - CBO - LC","Video - TikTok Unboxing - 1A - Homepage",active,ad,"All Feeds - P(LC) - US - MW, 25-60","Website purchases",13,38088,47794,130.35538462,1694.62,1013,1.67287266,35.45675189,3.33723898,1.25483092,1.06245768,2,24248,72,15,,,23101,6377,8093,4129,3312,2672,2373,9,2024-06-02,2024-07-11
"BD - Prospecting - Asia + AU/NZ - CBO - LC","GIF - Multiple Colorways - 1A - SPT CP",not_delivering,ad,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT","Website purchases",1,15199,35192,200.05,200.05,172,1.1630814,5.68453058,0.75301205,2.31541549,0.75490566,1,3596,12,1,,,3408,567,2616,1240,787,583,564,2,2024-06-02,2024-07-11
"[AU/AS] BD - ASC+ - Prospecting - Asia + AU","Video - Influencer Content - Evelyn - 4.3A - Homepage INTL",active,ad,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+","Website purchases",5,18506,28726,52.176,260.88,209,1.24822967,9.08166818,1.47601476,1.55225332,0.61528302,,11322,6,6,,,11090,1727,2843,1121,656,472,422,5,2024-06-02,2024-07-11
"[US] BD - Prospecting - US - CBO - LC","Video - TikTok Unboxing - 1A - Homepage",not_delivering,ad,"All Feeds - P(LC) - US - MW, 22+ - Engaged Shoppers","Website purchases",11,18739,25445,101.55454545,1117.1,674,1.6574184,43.90253488,3.77284339,1.35786328,1.16364583,1,12490,37,4,,,11763,3475,4348,2189,1626,1284,1152,8,2024-06-02,2024-07-11
"BD - Retargeting - CBO - LC","Video - TikTok Unboxing - 1A - Homepage",active,ad,"All Feeds - P(LC) - All WCAs","Website purchases",3,7304,23155,41.80666667,125.42,158,0.79379747,5.4165407,1.43381559,3.17018072,0.37777108,2,3880,16,,,,3701,683,836,416,287,237,217,3,2024-06-02,2024-07-11
"BD - Retargeting - CBO - LC","GIF - USPs - 1A - Homepage",active,ad,"All Feeds - P(LC) - All WCAs","Website purchases",2,6367,20425,29.825,59.65,64,0.93203125,2.92044064,0.61689106,3.20794723,0.4734127,,1715,9,1,,,1639,221,1179,476,297,227,216,2,2024-06-02,2024-07-11
