"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2024-07-01,2024-07-11,"DPA RTG - E",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",,,244,863,,-,-,-,10.87,Ongoing
2024-07-01,2024-07-11,"DPA RTG - C",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",,,301,1274,,-,-,-,16.29,Ongoing
2024-07-01,2024-07-11,"DPA RTG - B",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",,,156,507,,-,-,-,4.96,Ongoing
2024-07-01,2024-07-11,"DPA RTG - D",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",,,282,1247,,-,-,-,15.47,Ongoing
2024-07-01,2024-07-11,"GIF - USPs - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,2503,5356,,-,-,-,15.94,Ongoing
2024-07-01,2024-07-11,"GIF - USPs - 1A - Homepage",active,"All Feeds - P(LC) - US - MW, 25-60",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,720,1106,40.09,-,-,-,40.09,Ongoing
2024-07-01,2024-07-11,"Static - Waves - 1G - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,4687,13930,15.8075,-,-,-,63.23,Ongoing
2024-07-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",active,"All Feeds - P(LC) - US - MW, 25-60",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,8496,10630,126.45666667,-,-,-,379.37,Ongoing
2024-07-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,4004,10291,18.15333333,-,-,-,54.46,Ongoing
2024-07-01,2024-07-11,"GIF - Customer Testimonial - Urmat - Logo Update - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,1181,1975,,-,-,-,6.52,Ongoing
2024-07-01,2024-07-11,"GIF - Customer Testimonial - James - Logo Update - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,259,506,,-,-,-,0.79,Ongoing
2024-07-01,2024-07-11,"GIF - Crystal - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",,,64,82,,-,-,-,1.48,Ongoing
2024-07-01,2024-07-11,"GIF - Espresso Crystal - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",,,39,42,,-,-,-,1.32,Ongoing
2024-07-01,2024-07-11,"GIF - Hunter Green - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,2899,5705,153.04,-,-,-,153.04,Ongoing
2024-07-01,2024-07-11,"GIF - Mahogany Tortoise - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",,,54,70,,-,-,-,1.78,Ongoing
2024-07-01,2024-07-11,"GIF - Multiple Colorways - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",,,150,217,,-,-,-,11.39,Ongoing
2024-07-01,2024-07-11,"GIF - Multiple Colorways - 1A - SPT CP",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,1740,3765,,-,-,-,12.92,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,3903,5780,48.12333333,-,-,-,144.37,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,568,898,,-,-,-,26.26,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,239,321,,-,-,-,11.76,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,192,244,,-,-,-,6.13,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,303,402,,-,-,-,13.28,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,536,898,,-,-,-,20.29,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.1A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,371,473,,-,-,-,12.32,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.2A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,335,635,,-,-,-,20.7,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 5.3A - Homepage INTL",inactive,"[US] BD - ASC+ - Prospecting - US - W - Low Nose Bridge Ad Set",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-11T10:46:27-0400,"7-day click or 1-day view",,,108,217,,-,-,-,6.51,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.1.1A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,1058,1494,,-,-,-,11.27,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.2.1A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,2024,3366,,-,-,-,23.46,Ongoing
2024-07-01,2024-07-11,"Video - Influencer Content - Jimbo - 1.3.1A - Homepage INTL",active,"ASC+ Ad Set - JP, AU, NZ, HK, TW, SK, MY - MW, 22+",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:55-0400,"7-day click or 1-day view",,,643,877,,-,-,-,6.54,Ongoing
