"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Ends
2024-06-01,2024-07-11,"DPA RTG - E",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",,,469,2518,,-,-,-,29.33,Ongoing
2024-06-01,2024-07-11,"DPA RTG - C",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,704,4945,32.035,Average,Average,Average,64.07,Ongoing
2024-06-01,2024-07-11,"DPA RTG - B",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,490,2446,24.32,"Below average - Bottom 35% of ads","Above average",Average,24.32,Ongoing
2024-06-01,2024-07-11,"DPA RTG - D",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,748,6071,74.62,Average,Average,Average,74.62,Ongoing
2024-06-01,2024-07-11,"GIF - USPs - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,6478,20972,20.37333333,-,-,-,61.12,Ongoing
2024-06-01,2024-07-11,"GIF - USPs - 1A - Homepage",active,"All Feeds - P(LC) - US - MW, 25-60",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,4209,8376,144.195,-,-,-,288.39,Ongoing
2024-06-01,2024-07-11,"Static - Waves - 1G - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",6,actions:offsite_conversion.fb_pixel_purchase,10910,53532,41.33166667,-,-,-,247.99,Ongoing
2024-06-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,110283,180383,577.295,-,-,-,1154.59,Ongoing
2024-06-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",not_delivering,"All Feeds - P(LC) - US - MW, 22+ - Engaged Shoppers",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",12,actions:offsite_conversion.fb_pixel_purchase,19355,26439,97.42916667,-,-,-,1169.15,Ongoing
2024-06-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",active,"All Feeds - P(LC) - US - MW, 25-60",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",13,actions:offsite_conversion.fb_pixel_purchase,38543,48429,132.04615385,-,-,-,1716.6,Ongoing
2024-06-01,2024-07-11,"Video - TikTok Unboxing - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,7370,23374,42.50666667,-,-,-,127.52,Ongoing
2024-06-01,2024-07-11,"GIF - Customer Testimonial - James - Logo Update - 1A - Homepage",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",,,1531,2192,,-,-,-,13.71,Ongoing
2024-06-01,2024-07-11,"GIF - Customer Testimonial - Mixed - Logo Update - 1A - Homepage",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,27770,65651,66.582,-,-,-,332.91,Ongoing
2024-06-01,2024-07-11,"GIF - Customer Testimonial - Urmat - Logo Update - 1A - Homepage",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,7114,13600,39.76,-,-,-,79.52,Ongoing
2024-06-01,2024-07-11,"GIF - Customer Testimonial - Urmat - Logo Update - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,3775,8020,,-,-,-,24.12,Ongoing
2024-06-01,2024-07-11,"GIF - Customer Testimonial - James - Logo Update - 1A - Homepage",active,"All Feeds - P(LC) - All WCAs",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-07-10T14:32:56-0400,"7-day click or 1-day view",,,482,1049,,-,-,-,1.9,Ongoing
2024-06-01,2024-07-11,"GIF - Crystal - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,242,332,8.13,-,-,-,8.13,Ongoing
2024-06-01,2024-07-11,"GIF - Espresso Crystal - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",,,219,276,,-,-,-,5.69,Ongoing
2024-06-01,2024-07-11,"GIF - Hunter Green - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,9107,20491,153.685,-,-,-,614.74,Ongoing
2024-06-01,2024-07-11,"GIF - Mahogany Tortoise - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",,,180,224,,-,-,-,4.83,Ongoing
2024-06-01,2024-07-11,"GIF - Multiple Colorways - 1A - SPT CP",not_delivering,"All Feeds - P(LC) - US - MW, 22-60 - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-03-29T19:26:29-0400,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,438,613,23.11,-,-,-,23.11,Ongoing
2024-06-01,2024-07-11,"GIF - Hunter Green - 1A - SPT CP",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,24506,53027,98.93,-,-,-,296.79,Ongoing
2024-06-01,2024-07-11,"GIF - Crystal - 1A - SPT CP",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",,,1120,1308,,-,-,-,7.17,Ongoing
2024-06-01,2024-07-11,"GIF - Mahogany Tortoise - 1A - SPT CP",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",,,2733,4379,,-,-,-,18.99,Ongoing
2024-06-01,2024-07-11,"GIF - Espresso Crystal - 1A - SPT CP",not_delivering,"All Feeds - P(CC) - JP, AU, NZ, HK, TW, SK, TH, MY - MW, 22+ - Engaged Shoppers - SPT",0,ABSOLUTE_OCPM,"Using campaign budget",0,2024-04-07T21:47:30-0400,"7-day click or 1-day view",,,3870,7095,,-,-,-,35.47,Ongoing
2024-06-01,2024-07-11,"DPA RTG - A",active,"P30D - VC or ATC",0,ABSOLUTE_OCPM,5,Daily,2023-09-25T05:46:22-0400,"7-day click or 1-day view",,,334,1320,,-,-,-,12.88,Ongoing
